GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scaffold-java,com.meva.finance.model,Family,126,0,22,0,3,0,20,0,9,0
scaffold-java,com.meva.finance.model,User,341,0,62,0,8,0,50,0,19,0
scaffold-java,com.meva.finance.dto,UserDto,371,0,62,0,16,0,51,0,20,0
scaffold-java,com.meva.finance.dto,UserUpdateDto,341,0,62,0,9,0,50,0,19,0
scaffold-java,com.meva.finance.dto,FamilyDto,31,0,0,0,8,0,6,0,6,0
scaffold-java,com.meva.finance,Application,12,0,0,0,4,0,3,0,3,0
scaffold-java,com.meva.finance.exception,CpfExistingException,11,0,0,0,2,0,1,0,1,0
scaffold-java,com.meva.finance.exception,CpfNotFoundException,11,0,0,0,2,0,1,0,1,0
scaffold-java,com.meva.finance.exception,IdFamilyNotFoundException,11,0,0,0,2,0,1,0,1,0
scaffold-java,com.meva.finance.exception,GlobalHandlerException,18,0,0,0,4,0,3,0,3,0
scaffold-java,com.meva.finance.config,SwaggerConfig,14,0,0,0,6,0,2,0,2,0
scaffold-java,com.meva.finance.api,UserController,72,0,0,0,17,0,5,0,5,0
scaffold-java,com.meva.finance.api,Controller,12,0,0,0,4,0,3,0,3,0
scaffold-java,com.meva.finance.service,UserService,201,0,20,0,37,0,19,0,9,0
